name,value,year,lastValue,rank
02 Оборона,300298168.36,2003.2,295739822.53999996,129
01 Государственные службы общего назначения,1212172079.05,2003.2,1201895705.8999999,130
05 Охрана окружающей среды,11888196.0,2003.3,11759573.75,131
"08 Отдых, культура и религия",27258000.34,2003.3,27151318.48,132
07 Здравоохранение,43388471.660000004,2003.3,42410211.52,133
06 Жилищные и коммунальные услуги,77671672.14,2003.3,76192751.67999999,134
04 Экономические вопросы,99646284.98,2003.3,97986247.06,135
09 Образование,106874397.66000001,2003.3,104810331.62,136
10 Социальная защита,149591251.22,2003.3,148124454.09,137
03 Общественный порядок и безопасность,261543355.66,2003.3,254719504.87,138
02 Оборона,304856514.18,2003.3,300298168.36,139
01 Государственные службы общего назначения,1222448452.1999998,2003.3,1212172079.05,140
05 Охрана окружающей среды,12016818.25,2003.4,11888196.0,141
"08 Отдых, культура и религия",27364682.2,2003.4,27258000.34,142
07 Здравоохранение,44366731.800000004,2003.4,43388471.660000004,143
06 Жилищные и коммунальные услуги,79150592.6,2003.4,77671672.14,144
04 Экономические вопросы,101306322.9,2003.4,99646284.98,145
09 Образование,108938463.70000002,2003.4,106874397.66000001,146
10 Социальная защита,151058048.35,2003.4,149591251.22,147
03 Общественный порядок и безопасность,268367206.45,2003.4,261543355.66,148
02 Оборона,309414860.0,2003.4,304856514.18,149
01 Государственные службы общего назначения,1232724825.35,2003.4,1222448452.1999998,150
05 Охрана окружающей среды,12145440.5,2003.5,12016818.25,151
"08 Отдых, культура и религия",27471364.06,2003.5,27364682.2,152
07 Здравоохранение,45344991.940000005,2003.5,44366731.800000004,153
06 Жилищные и коммунальные услуги,80629513.06,2003.5,79150592.6,154
04 Экономические вопросы,102966360.82000001,2003.5,101306322.9,155
09 Образование,111002529.74000001,2003.5,108938463.70000002,156
10 Социальная защита,152524845.48,2003.5,151058048.35,157
03 Общественный порядок и безопасность,275191057.24,2003.5,268367206.45,158
02 Оборона,313973205.82,2003.5,309414860.0,159
01 Государственные службы общего назначения,1243001198.5,2003.5,1232724825.35,160
05 Охрана окружающей среды,12274062.75,2003.6,12145440.5,161
"08 Отдых, культура и религия",27578045.919999998,2003.6,27471364.06,162
07 Здравоохранение,46323252.080000006,2003.6,45344991.940000005,163
06 Жилищные и коммунальные услуги,82108433.52,2003.6,80629513.06,164
04 Экономические вопросы,104626398.74000001,2003.6,102966360.82000001,165
09 Образование,113066595.78,2003.6,111002529.74000001,166
10 Социальная защита,153991642.60999998,2003.6,152524845.48,167
03 Общественный порядок и безопасность,282014908.03,2003.6,275191057.24,168
02 Оборона,318531551.64,2003.6,313973205.82,169
01 Государственные службы общего назначения,1253277571.6499999,2003.6,1243001198.5,170
05 Охрана окружающей среды,12402685.0,2003.7,12274062.75,171
"08 Отдых, культура и религия",27684727.78,2003.7,27578045.919999998,172
07 Здравоохранение,47301512.220000006,2003.7,46323252.080000006,173
06 Жилищные и коммунальные услуги,83587353.97999999,2003.7,82108433.52,174
04 Экономические вопросы,106286436.66,2003.7,104626398.74000001,175
09 Образование,115130661.82000001,2003.7,113066595.78,176
10 Социальная защита,155458439.74,2003.7,153991642.60999998,177
03 Общественный порядок и безопасность,288838758.82,2003.7,282014908.03,178
02 Оборона,323089897.46000004,2003.7,318531551.64,179
01 Государственные службы общего назначения,1263553944.8,2003.7,1253277571.6499999,180
05 Охрана окружающей среды,12531307.25,2003.8,12402685.0,181
"08 Отдых, культура и религия",27791409.64,2003.8,27684727.78,182
07 Здравоохранение,48279772.36000001,2003.8,47301512.220000006,183
06 Жилищные и коммунальные услуги,85066274.44,2003.8,83587353.97999999,184
